crop,seed_type,soil,state,district,town_city,season,total_duration_estimate,sw_stage_dur,sw_tmin,sw_tmax,sw_rh,sw_rain,sw_wind,sw_solar_rad,sd_e_stage_dur,sd_e_tmin,sd_e_tmax,sd_e_rh,sd_e_rain,sd_e_wind,sd_e_solar_rad,tilrr_stage_dur,tilrr_tmin,tilrr_tmax,tilrr_rh,tilrr_rain,tilrr_wind,tilrr_solar_rad,stel_stage_dur,stel_tmin,stel_tmax,stel_rh,stel_rain,stel_wind,stel_solar_rad,btng_stage_dur,btng_tmin,btng_tmax,btng_rh,btng_rain,btng_wind,btng_solar_rad,hdng_stage_dur,hdng_tmin,hdng_tmax,hdng_rh,hdng_rain,hdng_wind,hdng_solar_rad,flwr_stage_dur,flwr_tmin,flwr_tmax,flwr_rh,flwr_rain,flwr_wind,flwr_solar_rad,grnm_stage_dur,grnm_tmin,grnm_tmax,grnm_rh,grnm_rain,grnm_wind,grnm_solar_rad,grnd_stage_dur,grnd_tmin,grnd_tmax,grnd_rh,grnd_rain,grnd_wind,grnd_solar_rad,rpng_stage_dur,rpng_tmin,rpng_tmax,rpng_rh,rpng_rain,rpng_wind,rpng_solar_rad,hrvst_stage_dur,hrvst_tmin,hrvst_tmax,hrvst_rh,hrvst_rain,hrvst_wind,hrvst_solar_rad
Soybean,JS 95-60,Alluvial loam,Madhya Pradesh,Singrauli,Harda,Kharif,107,7,23.3,33.6,67,7.2,4.3,604,9,21.4,29.5,65,2.1,4.6,660,11,24.6,29.2,58,2.2,7.6,529,17,24.3,28.2,59,5.2,5.1,555,7,27.0,29.0,63,5.8,6.3,533,7,25.7,33.5,65,5.9,2.8,538,6,25.6,33.5,57,3.8,7.1,627,11,24.1,27.2,71,6.7,6.4,559,14,22.8,29.8,70,3.2,4.2,643,14,22.3,28.8,72,5.1,4.9,538,4,22.3,30.2,61,7.6,3.0,531
Wheat,GW 322,Clay loam,Madhya Pradesh,Khandwa,Punasa,Rabi,115,9,12.8,20.1,46,0.8,7.0,554,10,10.4,21.2,62,1.4,2.2,545,23,14.9,20.5,62,1.1,5.6,538,17,10.3,19.5,61,1.3,7.1,458,7,8.6,20.9,58,0.5,7.5,608,7,13.4,20.8,60,1.5,5.5,503,5,20.0,25.3,61,0.2,7.1,453,9,20.9,25.0,46,2.8,4.7,599,11,19.7,22.3,49,2.3,6.5,421,14,17.4,20.2,63,1.0,4.2,410,3,13.3,27.7,54,0.9,3.2,605
Soybean,JS 20-34,Deep Black (Vertisol),Madhya Pradesh,Hoshangabad,Hoshangabad,Kharif,94,4,22.3,32.8,65,4.7,7.3,572,12,22.7,33.0,60,2.9,3.9,544,16,26.0,31.5,64,6.3,4.0,591,12,25.8,29.8,67,4.5,4.5,662,5,26.1,33.9,72,2.8,2.4,499,4,24.5,33.9,72,7.3,6.4,656,2,27.0,30.5,57,2.7,3.6,670,14,24.2,27.4,75,5.6,6.2,634,11,23.0,27.6,72,7.7,4.6,537,5,23.4,30.5,67,5.1,6.9,498,9,19.9,28.8,56,5.2,6.7,591
Maize,HQPM-1,Silty clay loam,Madhya Pradesh,Jabalpur,Jabalpur,Kharif,113,8,21.5,29.4,67,3.2,3.4,684,8,19.3,30.2,60,4.8,6.4,541,18,20.0,26.4,60,5.6,4.1,622,17,20.5,30.1,60,3.1,4.6,697,12,19.2,33.0,54,3.9,7.1,585,8,22.0,27.8,60,5.3,7.9,578,3,22.6,26.3,52,3.2,2.3,527,10,24.0,32.3,64,4.9,2.8,699,13,23.4,31.6,67,4.3,4.1,623,10,23.2,34.2,61,4.1,7.3,633,6,18.6,33.0,56,2.4,4.5,571
Soybean,NRC 37,Sandy loam,Madhya Pradesh,Ujjain,Ujjain,Kharif,88,4,21.9,29.5,66,2.3,4.1,643,6,20.1,31.5,59,7.2,4.0,653,13,25.7,33.9,74,6.8,5.6,600,12,25.6,29.3,63,6.1,7.1,679,6,25.0,29.0,59,5.0,6.6,670,1,25.6,31.8,60,5.3,4.6,507,9,24.2,29.2,57,6.6,2.8,557,11,23.5,28.9,69,7.1,3.0,512,10,23.7,31.2,65,2.8,6.2,601,12,20.2,27.5,66,2.5,4.7,689,4,21.4,31.3,74,7.0,6.1,451
Soybean,JS 20-29,Red loam,Madhya Pradesh,Guna,Anuppur,Kharif,104,7,21.5,30.4,55,3.0,6.4,475,11,20.2,32.5,72,5.4,7.5,616,17,23.3,31.6,60,3.4,3.2,459,9,23.0,33.1,72,2.7,4.4,682,4,27.9,31.0,70,5.0,3.6,528,5,24.4,32.7,74,6.8,5.7,614,5,27.2,33.1,58,7.8,2.7,467,12,23.6,26.1,57,2.0,7.5,624,14,23.5,27.6,64,2.5,3.8,569,15,20.9,30.2,70,5.6,2.7,506,5,23.7,29.9,57,7.6,4.2,593
Wheat,HI 8759 (Pusa Tejas),Alluvial loam,Madhya Pradesh,Ratlam,Tikamgarh,Rabi,110,8,15.6,23.4,59,0.6,4.6,633,11,15.5,21.7,57,2.2,5.0,507,25,15.2,22.4,55,2.6,4.2,564,21,10.8,19.5,48,0.1,3.6,527,7,12.3,17.0,64,1.7,4.1,442,2,14.6,21.5,55,2.0,4.3,468,4,21.6,25.7,45,2.9,5.4,421,12,20.8,24.1,65,1.4,2.0,530,8,19.1,26.1,56,2.7,4.8,558,9,14.8,21.3,46,2.8,2.5,614,3,17.5,24.5,59,2.4,6.0,501
Rice,JRH 8,Clay loam,Madhya Pradesh,Betul,Multai,Kharif,123,7,25.2,30.5,81,7.1,7.0,505,8,25.3,30.5,71,4.5,2.8,487,22,24.1,34.8,68,9.8,3.3,607,20,25.7,32.4,63,9.0,6.1,474,11,23.9,33.5,77,5.4,8.2,571,5,27.2,32.2,82,7.5,7.5,612,9,26.6,32.3,73,4.5,8.2,492,14,26.8,31.5,75,4.3,9.6,495,14,25.3,33.7,72,4.3,10.4,504,8,23.5,32.5,69,8.4,11.0,675,5,21.9,27.4,68,6.1,5.9,658
Wheat,HI 1544,Shallow Black (Vertisol),Madhya Pradesh,Alirajpur,Shivpuri,Rabi,96,4,15.5,24.7,59,0.8,2.7,543,8,15.2,22.3,62,0.3,6.4,617,13,10.4,22.3,54,0.5,7.8,613,19,13.6,20.4,50,2.4,4.9,569,10,13.0,19.4,57,2.5,5.9,461,4,15.4,20.5,47,2.6,6.6,622,3,18.9,24.6,63,1.7,2.6,623,8,20.7,26.2,47,0.8,3.5,464,11,17.0,22.6,55,2.3,3.4,530,11,16.0,25.6,64,0.7,4.9,538,5,15.2,29.0,51,0.8,7.5,426
Soybean,NRC 127,Shallow Black (Vertisol),Madhya Pradesh,Umaria,Narsinghpur,Kharif,100,4,21.0,30.2,72,7.6,5.5,469,9,22.8,32.0,60,7.4,3.5,499,14,25.7,29.4,64,2.1,3.9,640,11,25.9,28.7,59,4.8,4.6,467,9,24.7,28.5,64,3.4,5.8,601,6,25.6,31.5,69,6.9,4.8,586,9,26.8,32.9,70,6.6,7.8,506,11,24.3,31.9,64,5.6,7.2,498,11,24.3,27.4,57,4.3,2.2,508,10,21.6,27.0,66,6.8,7.3,699,6,22.8,30.6,71,8.0,8.0,480
Groundnut,AK 159,Sandy loam,Madhya Pradesh,Katni,Dhar,Zaid,116,6,24.5,29.1,58,2.5,5.1,557,8,23.6,29.3,51,5.9,5.5,620,12,24.8,28.8,56,5.8,4.4,650,16,23.8,28.9,62,5.8,7.5,624,10,22.6,30.4,53,5.2,3.9,541,7,22.5,29.6,70,5.5,3.8,665,9,24.2,30.5,56,5.8,2.4,651,14,25.0,29.7,65,5.2,2.9,600,15,25.4,31.3,62,4.1,2.6,517,13,25.3,30.0,58,3.4,7.5,556,6,25.5,30.5,56,4.1,5.8,561
Soybean,JS 335,Sandy loam,Madhya Pradesh,Ashoknagar,Sidhi,Kharif,105,4,23.0,28.4,63,7.1,2.9,457,9,20.3,29.8,67,6.8,3.9,609,15,25.1,28.5,75,4.7,3.1,629,13,24.4,33.1,64,5.4,3.2,582,7,27.7,29.9,65,7.2,5.3,534,3,25.2,31.2,60,4.9,4.4,688,8,27.3,32.6,71,6.5,7.6,607,9,25.1,29.7,63,3.8,7.4,518,16,25.4,30.4,69,2.5,2.2,655,14,20.7,31.9,58,3.1,4.0,626,7,21.0,30.4,61,7.2,7.3,557
Maize,HQPM-5,Shallow Black (Vertisol),Madhya Pradesh,Bhopal,Bhopal,Kharif,110,4,20.7,33.3,68,4.9,4.7,625,7,20.5,29.1,52,5.6,2.4,673,17,23.0,31.3,52,5.3,8.4,537,19,20.3,34.9,64,5.1,2.3,678,10,20.0,28.0,56,5.4,7.1,522,6,22.9,33.9,51,3.6,2.5,572,10,21.1,28.2,51,4.4,3.6,661,13,18.7,28.9,50,2.7,5.0,662,8,23.3,29.0,51,4.2,2.3,679,11,19.6,32.6,54,4.2,3.8,544,5,20.9,27.1,50,5.3,8.7,558
Soybean,NRC 37,Alluvial loam,Madhya Pradesh,Panna,Balaghat,Kharif,116,6,22.0,30.3,73,2.1,4.8,614,9,20.2,30.9,60,4.9,2.6,485,16,23.2,32.6,73,7.2,7.9,502,13,23.9,28.3,65,5.8,6.3,571,3,26.4,31.0,72,7.7,2.1,518,7,25.5,29.7,67,6.8,6.1,489,12,27.7,30.5,66,6.1,5.5,610,17,24.6,31.0,69,4.3,6.4,516,10,25.6,29.5,66,3.3,3.9,583,12,23.6,29.8,63,2.0,7.9,467,11,20.9,26.7,67,7.7,7.8,615
Lentil,JL 3,Clay loam,Madhya Pradesh,Hoshangabad,Hoshangabad,Rabi,97,3,15.8,20.6,41,1.5,6.9,406,9,15.9,25.8,50,0.3,4.0,551,14,15.5,22.2,52,0.3,5.7,569,13,9.2,24.0,55,0.2,4.1,472,7,14.5,19.4,48,0.1,5.4,564,6,9.6,21.3,54,0.5,5.1,426,11,11.8,25.5,53,1.0,4.5,490,11,10.0,22.2,48,1.7,4.4,573,11,12.1,20.8,45,1.8,2.3,530,8,12.6,19.5,52,0.7,2.7,459,4,14.9,22.7,52,2.3,5.7,611
Rice,JR 201,Clay loam,Madhya Pradesh,Dhar,Betul,Kharif,122,6,22.6,34.1,79,6.4,9.7,560,7,24.9,31.7,79,8.4,8.9,580,18,22.9,32.6,82,9.4,8.6,553,24,23.4,31.3,73,9.1,10.5,468,8,22.4,32.4,78,8.3,3.5,699,9,26.3,30.5,70,4.5,4.8,571,2,25.6,30.0,61,9.0,11.5,525,14,26.0,30.9,65,9.8,4.9,691,17,25.5,31.3,79,8.8,9.4,504,10,24.9,28.4,66,7.6,8.6,605,7,23.8,30.3,75,4.7,8.4,595
Mustard,DRMR 150-35,Clay loam,Madhya Pradesh,Barwani,Dewas,Rabi,110,6,14.1,18.6,55,1.8,4.0,437,9,10.5,24.5,46,2.2,4.2,429,14,13.6,25.1,59,2.1,4.0,447,13,12.7,18.2,41,0.5,5.4,449,7,15.5,24.1,55,2.9,7.4,640,7,15.7,24.5,59,2.4,2.8,610,14,13.6,18.3,54,2.7,5.2,477,13,12.8,19.6,58,2.9,6.9,404,12,15.6,20.7,57,1.5,3.6,560,8,14.5,21.8,49,1.7,6.2,523,7,15.9,22.9,43,2.8,3.6,546
Lentil,PL 6,Alluvial loam,Madhya Pradesh,Dhar,Betul,Rabi,102,4,9.8,25.0,49,1.9,5.9,574,7,11.4,18.2,52,1.3,4.9,627,12,9.4,19.0,51,2.1,2.9,472,17,10.9,19.2,40,1.9,4.2,470,11,15.2,21.5,46,0.7,2.9,471,4,11.6,18.6,43,2.4,7.1,506,9,14.5,21.8,57,2.4,7.1,493,13,8.3,19.8,48,0.5,6.3,401,9,9.9,24.3,43,1.5,8.0,612,15,12.6,22.5,47,0.6,3.6,431,1,9.1,21.3,57,1.2,4.4,409
Mustard,DRMR 150-35,Silty clay loam,Madhya Pradesh,Satna,Maihar,Rabi,104,5,12.5,18.3,60,1.6,4.7,502,3,12.6,19.1,48,0.1,6.4,537,14,11.2,25.2,55,1.6,7.1,599,20,15.5,19.7,47,1.8,2.9,415,12,12.9,20.7,46,1.0,4.3,631,5,10.8,24.1,48,0.5,3.7,568,7,12.6,20.5,53,2.4,2.5,590,11,11.3,24.6,60,2.7,2.5,588,14,15.6,18.9,42,1.4,4.0,627,9,11.2,20.4,42,2.4,5.3,600,4,15.7,22.6,60,1.2,8.0,464
Mustard,DRMR 150-35,Sandy loam,Madhya Pradesh,Mandsaur,Sehore,Rabi,111,5,12.2,20.5,53,0.3,7.8,518,12,13.7,25.6,48,0.2,3.1,424,15,15.5,20.8,53,0.1,2.8,463,16,11.7,23.7,42,1.7,7.7,632,12,12.8,19.5,45,0.8,6.2,581,2,11.2,20.0,45,2.5,6.2,639,11,12.9,21.3,42,0.6,3.8,554,10,10.7,24.5,42,0.1,6.4,534,10,12.5,26.0,56,1.9,4.6,501,12,14.6,24.2,53,0.7,3.9,464,6,10.8,18.2,49,1.5,3.1,484
Mustard,Pusa Tarak,Shallow Black (Vertisol),Madhya Pradesh,Ratlam,Indore,Rabi,105,5,13.1,22.3,42,1.4,3.6,634,9,11.9,24.3,44,2.9,6.0,486,13,13.5,23.2,47,0.5,7.2,603,15,11.5,24.8,53,2.4,6.7,603,10,15.9,18.8,41,1.4,3.0,444,3,11.2,21.4,51,1.8,2.0,467,10,15.0,22.2,49,1.9,2.1,532,11,12.0,21.7,51,2.3,4.2,603,13,11.0,23.7,60,1.8,7.7,561,10,15.4,24.0,41,0.6,7.9,497,6,14.4,24.3,51,1.9,4.4,412
Chickpea,JAKI 9218,Medium Black (Vertisol),Madhya Pradesh,Neemuch,Tikamgarh,Rabi,111,6,15.0,27.9,54,0.7,4.7,565,11,12.1,22.1,54,0.6,5.6,614,13,10.6,21.2,59,1.1,4.6,516,16,15.8,25.8,43,0.5,4.7,568,6,17.4,24.1,43,1.6,3.1,574,7,17.3,23.9,50,0.6,7.3,465,10,14.4,26.0,50,0.6,2.9,492,16,12.5,24.0,44,2.2,6.8,524,13,10.9,27.6,49,0.1,2.2,486,7,17.6,27.5,60,2.5,7.6,630,6,13.8,24.6,45,1.7,2.3,439
Maize,HQPM-1,Sandy loam,Madhya Pradesh,Panna,Dindori,Kharif,123,3,20.0,26.5,56,2.3,3.0,696,6,23.0,28.7,64,2.0,4.8,593,15,20.9,32.5,69,5.4,7.9,646,24,21.7,33.9,59,3.0,6.3,679,14,21.7,27.3,52,4.3,3.5,631,5,20.6,34.2,66,4.6,3.8,635,11,19.0,35.0,69,2.4,5.1,520,13,20.6,31.4,53,3.9,6.4,665,13,18.3,31.5,63,2.2,8.3,589,9,19.4,31.5,52,3.1,8.6,543,10,20.7,28.5,54,2.2,5.3,649
Soybean,JS 93-05,Sandy loam,Madhya Pradesh,Narsinghpur,Narsinghpur,Kharif,109,8,21.4,33.1,74,5.8,6.8,697,15,20.9,30.6,65,5.0,3.2,464,16,25.6,34.0,57,2.0,5.3,674,14,24.8,33.6,75,4.3,2.4,456,7,26.5,30.8,66,3.9,3.2,567,2,25.7,32.8,66,7.9,3.0,659,7,24.5,30.4,73,2.8,2.4,520,10,25.2,30.6,63,3.6,7.3,635,13,22.1,32.0,60,5.3,5.7,615,11,22.7,26.4,60,6.6,4.4,596,6,18.1,28.8,70,4.7,5.0,622
Wheat,MP 3288,Deep Black (Vertisol),Madhya Pradesh,Sidhi,Narmadapuram,Rabi,130,10,17.4,21.5,57,2.9,6.0,565,11,14.1,22.0,49,1.5,4.5,577,31,13.8,19.8,64,0.3,4.7,493,21,11.8,20.6,63,2.2,6.0,589,7,8.9,17.4,53,0.3,7.8,558,6,13.6,19.4,47,1.5,4.6,524,4,19.4,25.6,55,2.8,7.7,524,14,18.1,25.9,45,2.6,6.3,515,11,19.3,26.2,54,2.0,3.1,401,10,16.6,23.9,63,2.6,4.1,523,5,16.7,23.4,45,2.2,5.3,488
Soybean,JS 335,Sandy loam,Madhya Pradesh,Balaghat,Indore,Kharif,102,5,21.2,31.1,60,7.7,5.9,587,12,22.8,28.6,62,4.9,3.1,666,16,22.7,33.1,57,7.6,2.3,589,11,25.7,29.0,65,6.0,2.4,487,4,24.1,32.0,70,4.2,3.6,548,5,28.0,30.9,63,7.3,7.4,643,7,26.7,30.8,65,2.6,5.9,573,14,23.2,32.0,68,7.0,6.5,637,12,24.1,27.6,57,5.7,2.8,548,10,23.9,30.6,71,3.6,7.8,468,6,18.4,31.7,56,3.8,5.2,646
Soybean,NRC 127,Deep Black (Vertisol),Madhya Pradesh,Anuppur,Ujjain,Kharif,103,7,22.7,32.4,66,7.6,5.9,558,12,21.8,32.0,58,4.7,5.5,651,16,23.0,32.0,73,5.7,3.3,624,11,24.0,28.5,59,6.1,7.7,546,6,26.4,29.8,66,4.6,7.6,572,6,27.2,30.4,71,4.7,7.1,462,10,26.1,28.5,59,7.7,2.6,478,8,22.7,28.9,59,6.2,6.1,475,13,23.5,31.2,61,7.9,3.7,535,10,21.2,26.6,63,5.2,7.6,475,4,21.4,30.7,72,2.2,5.0,459
Soybean,JS 335,Deep Black (Vertisol),Madhya Pradesh,Hoshangabad,Hoshangabad,Kharif,108,5,22.9,31.6,69,4.2,3.0,522,13,21.1,28.3,56,3.7,7.8,695,18,22.2,33.0,70,4.4,3.1,452,9,23.7,29.2,60,5.6,5.1,521,8,27.0,33.5,63,6.7,5.4,502,4,27.8,30.7,74,7.7,6.6,549,6,24.9,31.0,73,5.1,7.8,479,13,24.1,28.8,62,4.1,7.7,517,13,23.5,31.6,69,3.8,3.9,543,12,20.1,30.4,62,6.2,4.0,676,7,21.2,30.6,57,3.1,4.5,453
Wheat,MP 3288,Clay loam,Madhya Pradesh,Indore,Indore,Rabi,120,9,17.7,22.7,48,2.5,7.1,439,10,15.2,22.5,55,0.3,2.0,606,26,11.8,20.9,52,0.3,5.4,529,16,10.1,21.4,61,1.6,2.6,501,9,9.5,18.4,59,1.0,5.5,557,4,12.7,21.0,47,1.1,2.4,450,5,19.0,25.1,52,2.3,6.7,601,14,18.4,29.5,59,2.6,5.9,495,12,17.0,25.6,61,1.7,6.9,633,9,16.3,20.2,58,0.6,2.6,595,6,13.2,26.7,62,2.3,7.2,404
Soybean,JS 20-29,Red loam,Madhya Pradesh,Seoni,Dindori,Kharif,106,6,20.2,33.2,56,4.2,2.4,554,7,22.9,32.8,64,6.6,5.3,677,15,24.4,33.7,62,2.6,6.4,634,11,22.3,32.9,66,6.5,6.8,664,5,27.7,31.1,68,3.8,4.1,686,6,25.3,30.0,61,3.0,5.2,618,7,27.1,29.6,59,6.8,7.7,455,15,25.5,27.9,71,4.6,4.3,527,13,25.4,29.7,66,3.1,7.0,516,13,23.6,26.4,74,5.7,2.3,524,8,20.9,30.0,74,7.2,6.3,618
Maize,HQPM-7,Clay loam,Madhya Pradesh,Jhabua,Mandla,Kharif,114,6,21.9,27.5,68,5.6,4.2,632,11,19.1,33.1,69,5.7,6.4,685,15,23.6,30.0,69,2.5,3.2,635,15,18.2,27.7,54,5.2,4.6,622,10,20.0,29.6,54,3.8,6.6,545,2,22.3,34.0,60,2.3,9.0,690,8,23.1,26.3,64,5.1,6.4,619,14,21.4,26.1,66,5.9,4.3,525,14,23.0,34.7,68,2.3,6.4,678,12,19.4,30.4,64,5.9,2.6,584,7,20.9,26.7,57,3.4,6.9,597
Soybean,NRC 127,Medium Black (Vertisol),Madhya Pradesh,Barwani,Dhar,Kharif,100,6,22.8,33.2,73,2.8,6.6,674,8,22.4,30.6,57,5.4,4.4,594,16,22.8,33.6,59,6.8,2.1,624,12,23.1,28.6,64,6.5,5.8,499,7,26.4,31.5,57,7.1,3.5,583,4,27.7,31.3,61,5.7,3.5,494,8,24.7,32.5,67,7.5,4.5,565,12,22.9,27.8,61,4.3,3.5,697,10,22.1,31.0,65,5.0,4.1,670,9,23.8,28.7,75,5.8,3.6,605,8,23.3,30.0,74,2.0,4.8,486
Mustard,RH 406,Red loam,Madhya Pradesh,Indore,Sanwer,Rabi,109,7,12.2,24.5,48,1.1,2.4,633,8,13.1,22.9,42,1.7,4.4,573,16,13.7,22.6,48,1.8,2.6,436,11,10.1,24.5,56,1.8,7.1,621,10,10.3,19.0,41,0.2,7.0,597,4,13.9,25.4,46,1.7,4.2,628,12,12.4,18.9,43,0.3,7.6,530,12,13.2,23.8,59,2.1,7.1,431,14,12.6,21.6,45,0.1,5.8,424,9,15.5,20.5,46,2.9,6.6,558,6,14.4,23.2,59,0.8,3.7,462
Chickpea,JG 16,Red loam,Madhya Pradesh,Katni,Datia,Rabi,112,3,16.6,26.6,55,0.4,6.5,477,10,14.3,20.5,56,0.3,5.3,576,17,16.9,23.6,54,0.9,2.0,648,18,14.3,21.5,56,0.3,6.6,446,8,17.3,27.5,53,1.4,6.9,532,5,12.2,23.3,41,0.5,5.5,616,9,11.9,22.4,53,1.9,3.4,444,16,16.2,22.8,47,1.8,4.4,411,13,14.1,20.1,43,0.9,3.1,424,8,16.4,23.6,59,1.5,7.0,629,5,15.7,21.5,59,0.9,3.0,425
Chickpea,JG 36,Medium Black (Vertisol),Madhya Pradesh,Agar Malwa,Harda,Rabi,117,6,14.3,23.0,57,0.8,6.8,593,6,10.5,27.0,41,2.2,4.1,530,16,13.7,23.1,57,1.9,6.1,592,17,17.4,23.9,47,1.2,7.4,642,6,17.1,26.5,43,0.8,5.5,443,9,17.7,23.2,45,1.4,3.7,562,7,12.7,20.9,40,2.1,3.8,430,20,12.1,23.6,51,2.4,4.6,547,13,11.9,24.4,48,1.6,5.6,436,11,13.6,22.3,51,1.2,5.9,570,6,16.1,24.8,45,1.8,6.8,499
Maize,PMH 1,Red loam,Madhya Pradesh,Sehore,Ashta,Kharif,123,5,18.4,34.3,67,3.1,2.9,601,9,18.4,33.4,51,5.2,7.7,650,18,20.3,28.5,62,2.6,3.0,625,19,23.8,30.2,65,2.2,3.9,680,10,18.9,28.8,63,3.6,6.8,680,6,18.3,28.9,51,5.9,6.1,645,12,23.4,32.8,60,3.8,6.9,627,15,23.9,29.5,50,3.1,2.2,588,12,22.3,28.3,61,4.9,8.9,513,9,21.0,35.0,61,3.4,8.6,606,8,22.3,26.6,68,5.2,7.6,584
Wheat,HI 1544,Medium Black (Vertisol),Madhya Pradesh,Mandla,Multai,Rabi,128,5,12.4,20.6,63,0.2,3.0,451,12,12.8,22.5,59,1.1,6.7,634,24,13.7,18.2,60,2.0,4.2,603,22,12.3,18.5,61,2.9,2.6,649,11,11.5,20.6,58,0.8,2.8,486,8,12.3,19.3,65,0.9,6.9,548,4,20.8,23.0,52,1.0,5.6,628,13,18.8,27.9,62,1.2,2.6,483,14,17.6,26.5,46,0.0,7.6,402,10,16.6,22.2,48,1.1,4.9,588,5,10.9,25.0,59,1.5,6.6,624
Chickpea,JG 14,Medium Black (Vertisol),Madhya Pradesh,Khargone,Berasia,Rabi,114,7,12.1,20.5,41,2.4,6.1,534,6,17.1,23.2,47,0.9,7.3,554,16,11.5,24.3,51,0.7,7.5,591,15,15.5,26.6,45,1.9,6.7,634,6,14.3,20.8,53,1.8,2.5,506,7,14.7,21.2,59,0.0,7.4,449,10,15.0,22.0,54,1.5,4.8,542,16,14.5,25.4,50,1.7,4.9,557,14,13.3,27.3,54,1.2,5.4,604,11,12.6,24.8,47,2.2,5.0,630,6,12.0,22.0,47,0.7,3.4,488
Wheat,HI 8759 (Pusa Tejas),Alluvial loam,Madhya Pradesh,Narmadapuram,Narmadapuram,Rabi,108,7,12.5,20.3,52,0.6,5.7,635,11,13.2,21.3,61,2.6,3.2,486,18,12.7,21.5,61,2.5,3.1,610,25,13.3,21.4,52,1.7,4.6,518,4,9.2,18.1,45,1.4,7.6,644,8,14.9,21.4,61,1.5,4.2,464,3,19.7,22.2,58,2.2,4.0,600,12,21.6,27.5,62,2.9,3.3,409,8,18.9,22.3,47,1.8,7.6,574,9,14.7,21.1,64,1.3,5.3,466,3,12.0,20.6,51,0.4,7.6,405
Soybean,JS 335,Clay loam,Madhya Pradesh,Vidisha,Ashoknagar,Kharif,100,5,23.2,32.8,66,5.3,3.4,558,8,22.3,32.3,75,6.6,6.4,467,15,22.1,33.9,60,2.1,6.1,557,12,22.5,32.6,71,7.8,4.4,559,8,25.6,31.9,61,7.2,4.3,534,1,26.7,33.5,70,7.1,2.7,650,6,26.0,31.1,62,5.9,2.4,627,16,23.8,31.1,71,4.0,7.5,543,12,25.7,28.1,66,6.1,3.1,509,11,23.5,27.7,58,3.2,8.0,633,6,18.1,26.2,67,3.3,5.2,487
Maize,HQPM-7,Silty clay loam,Madhya Pradesh,Shajapur,Anuppur,Kharif,115,7,20.8,32.8,60,5.9,5.7,626,7,20.7,33.6,65,4.6,5.4,660,17,20.6,29.2,54,2.9,3.0,517,16,20.6,32.2,61,4.7,3.8,612,11,24.0,26.4,62,5.2,2.3,676,8,23.3,32.8,57,4.2,3.7,608,8,21.6,26.3,66,5.5,3.5,615,16,19.2,28.9,65,3.0,5.7,508,9,19.7,31.2,65,2.7,2.5,511,10,22.1,32.8,53,3.8,2.7,501,6,23.9,33.3,52,5.0,5.9,509
Soybean,RVS 2001-4,Medium Black (Vertisol),Madhya Pradesh,Sehore,Ashta,Kharif,85,2,23.5,33.5,74,4.8,7.3,516,10,21.4,32.4,59,7.7,3.6,514,13,22.9,31.1,55,3.2,4.8,657,12,24.7,33.1,73,4.5,6.6,505,2,25.6,33.9,70,4.8,3.4,589,5,25.3,30.9,74,4.6,4.7,660,5,26.2,31.9,66,5.9,6.3,571,12,24.9,27.2,62,7.4,7.7,664,8,25.5,31.2,64,4.2,6.3,457,12,23.7,31.4,62,4.9,3.4,566,4,20.2,31.0,67,5.3,6.0,561
Wheat,HD 2967,Alluvial loam,Madhya Pradesh,Neemuch,Shajapur,Rabi,118,4,15.1,21.5,54,0.6,7.6,567,12,13.6,22.3,48,1.8,6.6,458,24,15.4,20.8,60,0.8,5.9,465,21,11.1,21.6,61,0.3,5.8,549,7,8.5,17.3,48,1.8,7.9,542,7,12.2,18.4,63,2.0,6.9,420,5,18.3,26.3,64,1.9,4.7,604,11,19.0,26.4,52,0.5,6.3,568,13,19.6,26.7,61,1.6,3.3,643,9,13.6,21.9,60,2.2,7.8,598,5,10.3,26.5,52,0.7,7.8,614
Wheat,HI 8759 (Pusa Tejas),Clay loam,Madhya Pradesh,Chhatarpur,Dhar,Rabi,112,8,13.2,20.3,54,1.1,3.1,476,9,10.0,20.4,58,2.4,4.2,641,23,14.6,20.3,55,0.6,6.5,629,17,13.1,18.6,61,2.4,7.9,471,10,9.7,18.3,46,2.1,5.6,647,4,13.3,18.4,53,2.4,2.6,648,6,20.7,26.0,62,1.2,6.7,478,8,21.4,27.7,48,2.1,5.6,549,15,16.6,24.0,46,0.1,5.6,586,10,17.6,25.2,64,1.2,2.6,591,2,17.2,24.6,56,0.0,7.0,570
Chickpea,JG 14,Deep Black (Vertisol),Madhya Pradesh,Sidhi,Dewas,Rabi,118,11,15.5,26.1,45,0.4,2.0,553,9,17.0,26.3,58,0.3,2.5,648,9,10.7,26.3,60,1.7,3.0,523,12,10.6,22.2,50,1.8,7.5,449,12,14.4,26.1,58,1.7,5.8,459,6,14.3,21.5,59,0.3,4.7,438,9,11.8,23.5,54,2.5,2.4,410,17,14.0,22.6,43,2.3,3.1,414,14,14.2,21.9,55,0.1,4.0,429,11,14.7,22.7,54,0.5,3.0,453,8,12.5,27.8,46,1.2,3.1,584
